f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55
1.135,215.7,9.561,4.341,1340.492,1213.442,44.98,0.788,1.863,27.432,-0.441,1.589,1.079,0.0,20.328,47.0,569.392,39.991,571.172,0.0,0.104,0.0,11.981,0.0,100.0,11.981,79.909,0.0,1141.977,9.03,45.682,100.0,0.0,0.0,0.0,0.0,100.0,0.977,1.066,92.424,28.549,92.424,0.103,492.927,27.857,92.539,110.0,92.533,23.137,221.61,63.555,19.996,83.317,4.925,702.91
1.053,123.04,9.814,4.367,533.457,1172.23,8.45,-1.54,0.376,1.462,-0.001,0.82,2.636,0.0,35.873,47.0,820.228,50.493,814.803,0.0,13.429,0.0,4.584,0.0,100.0,4.608,66.543,0.0,1239.361,10.867,45.978,100.0,0.0,0.0,0.0,0.0,100.0,0.851,0.987,91.435,40.74,91.354,0.157,997.326,33.736,121.969,110.0,121.955,30.489,252.72,74.182,25.243,80.765,5.762,1484.951
1.04,5.059,-0.748,4.205,367.876,1065.671,-0.383,-0.051,0.0,4.426,-0.83,0.0,19.237,0.0,21.387,47.0,827.074,52.524,829.931,0.0,0.128,0.0,128.534,0.0,36.685,127.462,128.031,0.0,1368.941,10.977,45.891,51.03,0.0,0.0,0.0,0.0,51.024,1.095,1.279,92.444,41.495,92.444,443.844,430.29,11.843,134.215,110.0,134.268,33.567,232.612,76.373,26.252,76.076,5.16,1312.178
1.258,978.881,10.209,4.21,2143.509,1211.438,182.639,2.433,8.322,27.51,-1.437,1.578,41.067,0.0,46.638,45.0,668.252,41.549,684.085,0.0,32.928,0.0,74.493,0.0,20.069,74.493,47.072,0.0,1352.454,8.302,45.496,100.0,0.0,0.0,0.0,0.0,100.0,1.01,1.073,96.169,34.204,96.169,776.532,922.309,57.072,88.487,110.0,88.487,22.139,222.984,64.874,20.767,75.705,4.452,3119.191
1.006,1.0,1.0,0.0,1.0,1.0,-0.402,-0.043,0.0,-0.677,-0.008,0.0,1.956,40.0,27.255,47.0,25.357,40.219,33.005,0.0,0.115,0.0,88.592,0.0,30.0,88.592,79.885,0.0,715.492,19.581,47.191,78.96,0.0,0.0,0.0,0.0,78.961,-0.102,1.137,75.298,1.65,75.298,0.197,438.807,20.246,36.359,110.0,36.358,9.092,9.859,0.714,20.109,81.787,5.243,508.08
1.045,298.436,9.817,4.226,405.626,1060.615,36.638,-1.976,1.651,177.889,3.436,9.626,23.712,0.0,18.486,47.0,809.563,51.242,810.014,0.0,1.329,0.0,128.639,0.0,39.781,128.27,134.305,0.0,1375.608,15.0,44.854,49.915,0.0,0.0,0.0,0.0,50.021,1.104,1.27,92.021,40.503,92.021,527.877,551.645,82.901,135.62,110.0,135.62,33.905,218.544,75.344,25.619,77.277,4.915,1440.604
1.25,133.051,9.843,4.228,2383.501,1687.854,74.404,3.138,3.189,27.451,-0.034,1.612,45.839,0.0,46.275,47.0,784.064,49.476,787.2,0.0,315.376,0.0,-0.088,0.0,4.982,-0.088,6.64,0.0,1334.443,7.78,45.478,84.765,0.0,0.0,0.0,0.0,84.827,1.065,1.036,91.487,39.36,91.487,1120.286,1113.068,41.184,126.803,110.0,126.748,31.703,223.736,72.92,24.741,78.784,4.308,3104.391
1.342,578.711,9.975,4.098,3114.896,1632.428,139.298,2.934,6.26,27.373,-3.063,1.564,28.042,0.0,37.032,47.0,788.262,48.703,784.201,0.0,155.233,0.0,155.591,0.0,40.782,155.591,127.41,0.0,1349.547,11.751,46.058,51.95,0.0,0.0,0.0,0.0,51.906,1.076,1.239,92.134,39.213,92.134,703.691,655.876,59.125,124.921,110.0,124.734,31.183,221.338,72.761,24.356,76.196,4.965,1863.409
1.177,263.604,9.922,4.602,1724.494,1745.76,27.196,-1.186,1.195,27.569,-0.536,1.569,51.429,-0.0,50.34,47.0,860.331,53.551,868.977,0.0,88.293,0.0,5.1,0.0,11.015,5.1,-0.03,0.0,1318.377,9.47,45.745,94.947,0.0,0.0,0.0,0.0,95.235,1.068,1.074,94.578,43.449,94.578,1313.654,954.813,38.908,138.339,110.0,137.904,34.59,258.753,76.994,26.775,82.031,6.205,3163.855
1.13,159.168,9.819,4.445,1333.722,1413.013,140.633,2.472,6.649,27.706,-6.316,1.563,38.402,-0.0,38.971,47.0,853.521,53.52,854.18,0.0,40.9,0.0,115.45,0.0,26.734,116.155,112.242,0.0,1362.804,11.142,46.0,71.035,0.0,0.0,0.0,0.0,70.78,1.101,1.145,92.059,42.709,92.059,917.082,881.555,44.514,133.816,110.0,133.792,33.454,251.127,77.018,26.755,76.403,6.291,2603.703
1.077,119.86,9.76,4.178,707.301,1163.262,-0.56,-0.055,0.0,-0.717,-0.006,0.0,23.572,0.0,30.67,47.0,850.533,52.583,847.214,0.0,0.139,0.0,147.206,0.0,43.243,146.491,152.97,0.0,1354.767,10.473,45.887,48.099,0.0,0.0,0.0,0.0,48.346,1.103,1.264,92.634,42.322,92.634,546.475,512.575,45.35,132.338,110.0,132.338,33.085,254.694,76.644,26.292,77.142,5.235,1706.922
1.129,220.587,9.878,4.343,1246.705,1263.43,77.78,3.072,3.637,27.098,-4.558,1.574,40.6,0.0,46.966,47.0,798.383,48.884,802.425,0.0,254.677,0.0,74.192,0.0,32.513,74.244,75.94,0.0,1341.625,31.259,48.815,67.494,0.0,0.0,0.0,0.0,67.401,-0.084,1.008,92.908,40.128,92.908,976.699,1113.39,95.766,115.039,110.0,114.805,28.701,244.894,72.459,24.439,75.734,5.138,3363.275
1.169,132.61,9.796,4.043,1486.824,1308.553,32.673,0.259,1.44,27.235,-0.138,1.578,2.26,0.0,35.929,47.0,865.074,53.784,862.146,0.0,24.0,0.0,94.609,0.0,30.0,94.609,55.804,0.0,1244.597,14.016,46.321,100.0,0.0,0.0,0.0,0.0,100.0,0.897,0.905,91.293,43.108,91.294,0.22,1052.063,44.554,140.092,110.0,140.092,35.023,274.684,77.36,26.897,84.413,5.804,1636.774
1.432,280.888,10.174,3.771,3581.794,1418.356,120.592,5.047,5.253,27.176,-4.95,1.548,31.045,0.0,17.474,47.0,373.512,40.0,163.587,0.0,1.129,0.0,217.908,0.0,49.363,217.908,231.766,0.0,1325.346,10.515,45.826,42.774,0.0,0.0,0.0,0.0,42.958,1.119,1.269,86.001,8.179,86.001,718.034,728.033,42.021,116.918,110.0,116.8,29.2,163.107,63.567,20.0,77.607,5.269,1520.904
1.059,114.443,9.823,4.244,582.99,1283.654,17.44,0.252,0.919,186.997,0.301,0.498,0.901,0.0,30.156,47.0,546.384,40.722,537.794,0.0,0.104,0.0,12.257,0.0,100.0,12.257,79.897,0.0,1140.101,11.128,45.892,100.0,0.0,0.0,0.0,0.0,100.0,0.956,1.05,90.34,26.887,90.34,0.076,709.95,35.97,104.012,110.0,104.012,25.977,196.519,64.437,20.36,82.569,4.838,1031.488
1.28,869.262,9.644,4.079,2490.056,1576.811,27.098,-1.624,1.195,186.761,2.39,10.721,41.896,0.0,34.426,47.0,808.44,50.138,798.42,0.0,156.285,0.0,-0.021,0.0,7.935,-0.021,23.504,0.0,1353.276,21.108,47.312,63.205,0.0,0.0,0.0,0.0,63.692,1.11,1.124,92.361,39.921,92.361,1016.036,1085.732,45.23,122.908,110.0,122.971,30.743,265.224,73.815,25.067,75.569,5.135,2691.786
1.032,140.883,9.849,4.176,314.194,1460.235,29.532,3.258,1.247,23.859,0.278,1.305,43.613,-0.0,56.676,47.0,668.77,43.349,666.426,0.0,390.982,0.0,1.588,0.0,1.294,1.588,0.0,0.0,1306.399,13.03,46.174,93.111,0.0,0.0,0.0,0.0,92.741,1.03,0.979,86.31,33.321,86.31,1072.21,1205.176,56.845,92.766,110.0,92.642,23.161,212.261,66.757,21.674,74.359,4.569,3363.5
1.035,113.736,9.474,4.359,335.92,1139.318,27.255,-0.054,1.221,27.648,-0.007,1.572,1.331,0.0,23.295,47.0,868.574,55.892,884.847,0.0,551.9,0.0,-0.055,0.0,0.744,-0.056,0.0,0.0,1368.884,10.938,45.945,100.0,0.0,0.0,0.0,0.0,100.0,1.007,1.016,94.202,44.242,94.202,26.329,1230.821,2.794,146.197,110.0,146.197,36.55,229.696,79.516,27.95,77.614,7.144,1730.461
1.281,311.833,9.949,4.348,2847.738,1633.954,36.324,-3.237,1.618,95.741,3.196,5.564,36.138,0.0,43.868,47.0,787.297,48.891,777.277,0.0,62.637,0.0,401.329,0.0,96.662,401.327,465.432,0.0,1360.192,8.597,45.553,31.393,0.0,0.0,0.0,0.0,31.366,1.143,1.181,89.751,38.864,89.751,872.782,912.787,58.885,126.327,110.0,126.243,31.561,242.459,72.357,24.448,77.699,4.493,2648.241
1.261,137.262,9.874,4.01,2324.499,1795.939,36.775,-0.061,1.635,27.353,-0.027,1.572,43.116,0.0,56.344,45.0,640.728,40.175,645.811,0.0,375.996,0.0,0.208,0.0,2.758,0.208,-0.0,0.0,1320.364,8.016,45.434,100.0,0.0,0.0,0.0,0.0,100.0,0.992,1.023,95.104,32.291,95.104,658.8,1141.599,59.512,78.395,110.0,78.394,19.614,213.594,63.5,20.087,75.253,4.672,3344.203
1.264,254.978,9.892,4.391,2524.443,1380.101,36.775,-3.562,1.619,90.186,3.18,5.146,40.233,-0.0,31.203,47.0,832.159,52.216,821.278,0.0,100.489,0.0,400.305,0.0,99.227,400.337,446.459,0.0,1370.009,11.224,45.991,45.936,0.0,0.0,0.0,0.0,45.896,1.138,1.152,92.059,41.064,92.059,974.027,1044.877,60.335,142.577,110.0,142.577,35.592,254.497,75.876,26.108,76.497,4.565,2369.25
1.093,218.938,9.846,4.261,751.706,1071.585,36.559,-5.056,1.615,85.769,5.697,4.972,29.083,0.0,30.26,47.0,840.006,52.477,843.58,0.0,0.935,0.0,141.106,0.0,43.254,141.106,150.23,0.0,1356.994,7.16,45.34,48.358,0.0,0.0,0.0,0.0,48.681,1.09,1.252,94.682,42.18,94.682,701.023,704.503,50.669,133.689,110.0,133.66,33.415,224.275,76.681,26.246,77.916,5.253,1866.347
1.256,757.317,10.111,4.144,2408.004,1461.475,36.422,-3.43,1.625,174.611,3.053,8.563,36.992,0.0,32.824,47.0,796.572,50.526,790.476,0.0,232.255,0.0,353.43,0.0,82.93,352.981,365.538,0.0,1358.186,20.877,47.389,57.364,0.0,0.0,0.0,0.0,57.299,1.107,1.119,91.185,39.524,91.185,896.507,989.696,72.716,131.42,110.0,131.131,32.817,256.988,74.208,25.267,76.821,4.685,2486.057
1.007,1.0,1.0,0.0,1.0,1.0,-0.461,-0.028,0.0,-0.599,-0.005,0.0,0.788,35.0,18.21,47.0,24.184,40.0,0.0,0.0,171.667,0.0,-0.034,0.0,2.8,-0.033,0.0,0.0,742.643,10.418,45.845,100.0,0.0,0.0,0.0,0.0,100.0,1.132,1.154,82.191,0.0,82.191,3.09,323.772,0.217,34.067,110.0,34.067,8.525,8.682,0.706,20.0,78.472,6.735,380.258
1.184,835.431,9.71,4.779,1788.409,1656.945,26.804,-5.612,1.219,186.801,5.833,10.74,41.255,0.0,48.409,47.0,911.022,56.241,920.166,0.0,10.149,0.0,73.169,0.0,24.124,73.171,69.849,0.0,1340.223,10.282,45.752,100.0,0.0,0.0,0.0,0.0,100.0,1.081,1.088,93.653,46.008,93.653,991.053,940.946,7.096,135.163,110.0,135.163,33.765,250.929,80.025,28.126,76.566,7.044,3078.632
1.12,315.249,9.926,3.868,958.298,1150.384,36.893,-2.393,1.641,149.603,2.538,8.778,40.695,0.0,13.623,45.0,661.191,41.299,652.138,0.0,455.559,0.0,-0.044,0.0,2.564,-0.044,-0.0,0.0,1359.605,7.976,45.549,100.0,0.0,0.0,0.0,0.0,100.0,0.992,0.976,94.456,32.607,94.456,791.612,1180.155,40.544,92.918,110.0,92.873,23.218,192.229,64.732,20.657,74.25,4.539,3037.654
1.321,142.856,9.854,4.263,2712.327,1775.62,36.755,-0.058,1.634,27.196,-1.57,1.568,47.083,0.0,52.013,47.0,851.084,51.233,872.093,0.0,303.648,0.0,-0.046,0.0,2.704,-0.045,-0.0,0.0,1312.196,10.318,45.79,100.0,0.0,0.0,0.0,0.0,100.0,0.975,0.95,94.577,43.595,94.577,1284.477,1209.186,49.353,125.122,110.0,125.285,31.321,235.17,75.173,25.609,75.578,5.73,3298.896
1.15,176.098,9.791,4.39,1682.148,1369.035,92.267,6.026,4.257,28.04,-0.1,1.625,27.556,0.0,45.308,47.0,841.255,52.315,847.589,0.0,-0.018,0.0,230.008,0.0,56.92,228.018,215.157,0.0,1365.763,9.991,45.796,68.684,0.0,0.0,0.0,0.0,68.129,1.11,1.215,91.827,42.379,91.827,626.469,565.004,30.626,129.513,110.0,128.966,32.378,228.175,75.823,26.154,78.378,6.326,2651.157
1.2,128.782,9.855,4.386,1986.296,1344.232,39.641,1.349,1.763,27.373,-0.992,1.568,41.77,0.0,48.264,47.0,887.549,54.995,897.502,0.0,359.919,0.0,35.315,0.0,12.105,35.315,28.318,0.0,1344.048,11.268,45.912,70.017,0.0,0.0,0.0,0.0,70.035,1.054,1.03,93.359,44.875,93.359,1039.906,1122.126,35.244,143.728,110.0,143.464,35.866,261.034,78.52,27.503,76.183,4.447,3208.739
1.18,630.797,9.931,4.228,1684.929,1384.394,36.363,-3.069,1.634,165.66,3.542,7.306,40.023,0.0,44.741,47.0,802.535,49.987,801.208,0.0,198.816,0.0,287.121,0.0,62.165,288.098,285.5,0.0,1349.132,13.045,46.208,53.386,0.0,0.0,0.0,0.0,53.395,1.106,1.132,92.21,40.06,92.21,958.778,1048.568,33.654,125.051,110.0,125.195,31.263,238.679,73.503,24.988,77.587,4.584,3064.848
1.345,477.101,9.784,4.239,2994.571,1636.53,184.249,1.168,8.348,27.549,-3.287,1.582,41.904,0.0,40.971,47.0,895.866,56.472,907.944,0.0,61.429,0.0,117.934,0.0,27.256,118.691,103.946,0.0,1344.894,7.154,45.362,73.313,0.0,0.0,0.0,0.0,73.316,1.118,1.135,92.628,45.397,92.628,955.201,899.277,20.224,143.409,110.0,143.963,35.959,244.355,80.083,28.239,78.432,6.861,2885.32
1.307,545.086,9.962,4.107,2731.262,1674.498,186.055,0.601,8.325,27.589,-0.773,1.583,39.752,0.0,43.527,47.0,848.627,51.573,839.118,0.0,247.533,0.0,-0.016,0.0,2.82,-0.014,-0.0,0.0,1359.313,18.961,47.051,97.418,0.0,0.0,0.0,0.0,97.75,-0.085,0.94,93.284,41.945,93.284,952.224,1090.621,62.484,131.236,110.0,131.355,32.839,252.945,75.296,25.793,75.805,4.959,3546.837
1.045,8.799,-0.742,4.391,432.922,1160.877,-0.638,-0.058,0.0,-0.717,-0.007,0.0,7.255,0.0,14.305,47.0,843.964,52.562,820.551,0.0,0.092,0.0,385.972,0.0,80.735,386.605,360.264,0.0,1375.227,9.785,45.741,65.548,0.0,0.0,0.0,0.0,65.757,1.13,1.28,92.055,41.028,92.055,153.497,209.451,7.598,142.068,110.0,141.624,35.517,216.093,76.255,26.287,81.601,6.958,472.487
1.349,144.711,9.868,3.932,3159.568,1254.081,36.814,0.211,1.641,36.795,2.125,1.97,41.996,0.0,53.364,45.0,667.044,41.843,677.359,0.0,135.841,0.0,-0.047,0.0,1.684,-0.047,-0.0,0.0,1328.458,10.363,45.888,100.0,0.0,0.0,0.0,0.0,100.0,1.012,1.048,95.866,33.868,95.866,731.828,1112.704,43.896,84.657,110.0,84.444,21.22,198.18,65.285,20.919,76.304,4.662,3425.112
1.167,120.302,9.834,4.037,1913.114,1385.253,36.598,-0.058,1.621,27.196,-0.006,1.576,45.037,0.0,52.372,47.0,762.154,47.877,761.281,0.0,188.97,0.0,-0.047,0.0,2.624,-0.046,0.0,0.0,1310.067,10.263,45.832,100.0,0.0,0.0,0.0,0.0,100.0,1.004,0.984,87.442,38.063,87.442,1186.091,1179.126,68.451,110.387,110.0,110.248,27.605,227.743,71.731,23.93,76.832,5.787,3270.56
1.328,206.66,9.795,4.515,3302.228,1277.549,78.605,1.71,3.975,27.805,-0.488,1.613,35.777,0.0,45.44,47.0,784.104,49.405,789.117,0.0,297.263,0.0,195.966,0.0,58.118,195.966,191.276,0.0,1364.827,14.708,46.448,64.426,0.0,0.0,0.0,0.0,64.372,1.085,1.099,90.702,39.456,90.702,883.136,896.099,63.955,128.788,110.0,128.788,32.197,227.106,72.914,24.695,76.869,4.597,2696.844
1.027,151.218,9.477,4.361,113.823,1224.985,49.691,3.864,1.908,27.216,-4.263,1.563,1.068,0.0,25.732,47.0,849.95,54.507,863.427,0.0,497.24,0.0,-0.054,0.0,0.294,-0.055,-0.0,0.0,1377.654,10.281,45.833,100.0,0.0,0.0,0.0,0.0,100.0,1.068,1.039,92.527,43.171,92.527,3.701,1013.212,3.22,139.549,110.0,139.424,34.887,233.129,78.022,27.258,83.554,6.984,1587.068
1.25,666.041,10.044,3.993,2216.661,1655.514,125.558,2.465,5.225,26.725,-2.068,1.584,19.168,0.0,28.814,47.0,816.556,50.956,796.474,0.0,0.113,0.0,260.712,0.0,60.656,260.288,251.869,0.0,1352.945,9.68,45.675,62.744,0.0,0.0,0.0,0.0,62.895,1.112,1.253,91.679,39.824,91.679,416.55,427.397,10.227,134.086,110.0,133.999,33.5,248.719,74.604,25.49,82.429,5.916,1441.774
1.272,1127.1,10.164,4.432,2487.879,1521.862,36.245,-2.573,1.637,185.78,2.305,10.552,41.216,0.0,40.388,47.0,838.65,53.38,859.483,0.0,214.492,0.0,366.175,0.0,77.686,366.066,367.81,0.0,1358.253,12.23,46.086,62.868,0.0,0.0,0.0,0.0,62.942,1.091,1.09,93.159,42.974,93.159,1027.553,1103.263,69.061,141.022,110.0,141.004,35.251,240.034,76.767,26.69,74.557,4.679,3076.846
1.172,265.253,9.789,4.284,1573.647,1537.507,89.263,4.01,4.445,27.275,-4.74,1.562,41.085,0.0,38.168,47.0,870.24,54.214,878.896,0.0,32.429,0.0,55.753,0.0,20.381,55.753,54.013,0.0,1346.829,10.449,45.785,56.989,0.0,0.0,0.0,0.0,57.187,1.07,1.175,93.55,43.945,93.55,978.369,1010.619,39.196,142.513,110.0,142.924,35.731,247.026,78.27,27.104,76.651,5.087,2687.005
1.205,433.318,10.037,4.274,1918.659,1341.561,105.87,2.412,4.399,27.333,-2.42,1.569,28.765,0.0,34.184,47.0,829.314,50.282,811.657,0.0,239.229,0.0,-0.045,0.0,2.834,-0.045,-0.0,0.0,1357.184,10.008,45.836,100.0,0.0,0.0,0.0,0.0,100.0,0.983,1.045,92.171,40.583,92.171,695.578,917.902,36.915,128.979,110.0,129.235,32.309,240.894,74.333,25.144,76.284,5.112,1.0
1.326,360.356,9.97,4.125,2922.699,1416.066,134.489,0.97,8.328,27.412,-1.141,1.566,40.734,0.0,44.137,47.0,799.935,49.963,808.388,0.0,103.581,0.0,74.648,0.0,24.956,74.638,74.493,0.0,1346.826,18.457,46.945,67.565,0.0,0.0,0.0,0.0,67.553,-0.086,1.081,93.319,40.419,93.319,974.432,950.147,49.349,119.948,110.0,119.964,29.991,236.522,73.536,24.982,74.656,5.362,3174.951
